Year,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Asylum_ukr,Refugees,Asylum_Seekers,Country_of_Asylum_UN_Code
2025,Finland,FIN,Фінляндія,72247,145,246
2025,France,FRA,Франція,70260,8859,250
2025,Georgia,GEO,Грузія,29124,102,268
2025,Germany,DEU,Німеччина,1193063,1654,276
2025,Dominican Rep.,DOM,Домініканська Республіка,5,28,214
2025,Portugal,PRT,Португалія,55872,20,620
2025,Japan,JPN,Японія,2058,0,392
2025,Hungary,HUN,Угорщина,63326,0,348
2025,Iceland,ISL,Ісландія,4270,25,352
2025,India,IND,Індія,0,93,356
2025,Iraq,IRQ,Ірак,0,6,368
2025,Ireland,IRL,Ірландія,112446,359,372
2025,Israel,ISR,Ізраїль,39,262,376
2025,Italy,ITA,Італія,173620,2012,380
2025,Latvia,LVA,Латвія,31661,0,428
2025,Kazakhstan,KAZ,Казахстан,92,116,398
2025,Kenya,KEN,Кенія,0,5,404
2025,Kyrgyzstan,KGZ,Киргизстан,34,21,417
2025,Liechtenstein,LIE,Ліхтенштейн,763,0,438
2025,Lebanon,LBN,Ліван,0,18,422
2025,Ghana,GHA,Гана,0,5,288
2025,Lithuania,LTU,Литва,49248,5,440
