Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Footnote_ukr
2024,Kyrgyzstan, ,KGZ,,REF,"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 23,400 people of various origins in Kyrgyzstan who may be in need of international protection.","На основі інформації про нових прибулих у звіті міжнародних організацій і діяльності УВКБ ООН з моніторингу захисту, УВКБ ООН оцінює, що в Киргизстані перебувають 23 400 осіб різного походження, які можуть потребувати міжнародного захисту."
2022,Turkmenistan, ,TKM,,STA,"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The increase in the reported figure is due to the identification of new people in stateless situations.","За відсутності офіційних даних наведена цифра стосується осіб без громадянства та осіб з невизначеним громадянством, визначених партнерськими організаціями УВКБ ООН у Туркменістані. Збільшення зазначеної цифри пов’язане з виявленням нових осіб без громадянства."
2021,Saudi Arabia, ,SAU,,ASY,"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 12,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.","УВКБ ООН реєструє лише тих шукачів притулку, яким загрожує гострий або неминучий захист. Крім того, є близько 12 400 інших шукачів притулку, які пройшли індивідуальну оцінку, консультації та поради щодо інформування УВКБ ООН про будь-які зміни в їхній ситуації, які б виправдали рішення про їх реєстрацію."
2019 - 2021,China, ,CHN,,REF,"The 303,100 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.",303 100 в’єтнамських біженців добре інтегровані та фактично отримують захист від уряду Китаю.
2022,Albania, ,ALB,,STA,"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness). The start-year figures are based on an identification exercise conducted in 2021 which identified a further 1,120 persons at risk of statelessness, subtracting the number of undocumented persons who had their nationality confirmed by the Albanian authorities in 2021. During 2022, an additional 350 people were assisted to confirm their nationalities through administrative and/or judicial procedures, out of which 238 were fully resolved.","З різних джерел, таких як відділи цивільного стану, заклади охорони здоров’я, школи, муніципальні відділи захисту дітей та соціальні служби, УВКБ ООН оцінює кількість людей з невизначеним громадянством (під загрозою втрати громадянства). Цифри на початку року засновані на ідентифікації, проведеній у 2021 році, яка виявила ще 1120 осіб, які ризикують залишитися без громадянства, за вирахуванням кількості осіб без документів, чиє громадянство було підтверджено органами влади Албанії у 2021 році. Протягом 2022 року додаткові 350 осіб отримали допомогу підтвердити своє громадянство через адміністративні та/або судові процедури, з яких 238 було повністю вирішено."
2025,Thailand, ,THA,,REF,"In Thailand, the number of new refugee arrivals is not available, but the Operation Centre for Displaced Persons, Ministry of Interior of Thailand, estimates that 54,500 refugees fled Myanmar and subsequently returned home from Thailand’s Temporary Safety Areas as of June 2025.","У Таїланді кількість нових біженців, які прибули, невідома, але Оперативний центр для переміщених осіб Міністерства внутрішніх справ Таїланду оцінює, що станом на червень 2025 року 54 500 біженців втекли з М’янми та згодом повернулися додому з тимчасових зон безпеки Таїланду."
2020,Colombia, ,COL,,STA,"With regard to the statelessness figures, in 2020, Colombia granted nationality by birth to 7,700 children with undetermined nationality born in Colombia to Venezuelan parents displaced abroad. As these children were both identified as persons with undetermined nationality and granted Colombian nationality in 2020, there was no impact on the figures reported.","Щодо цифр безгромадянства, у 2020 році Колумбія надала громадянство за народженням 7700 дітям з невизначеним громадянством, які народилися в Колумбії від венесуельських батьків, переміщених за кордон. Оскільки ці діти були визначені як особи з невизначеним громадянством і отримали колумбійське громадянство у 2020 році, це не вплинуло на надані цифри."
2023,Albania, ,ALB,,STA,"The Albanian Government conducted the Population and Housing Census during the period of September–October 2023. The results of the census are expected to be published by the end of June 2024 and the number of persons at risk of statelessness identified will be updated accordingly.

The start-year figures are based on an identification exercise conducted in 2021 which identified a further 1,120 persons at risk of statelessness, subtracting the number of undocumented persons who had their nationality confirmed by the Albanian authorities in 2021. During 2022, an additional 350 people were assisted to confirm their nationalities through administrative and/or judicial procedures, out of which 238 were fully resolved.","Уряд Албанії провів перепис населення та житла у вересні-жовтні 2023 року. Очікується, що результати перепису будуть опубліковані до кінця червня 2024 року, а кількість виявлених осіб, яким загрожує відсутність громадянства, буде відповідно оновлено.

Цифри на початку року засновані на ідентифікації, проведеній у 2021 році, яка виявила ще 1120 осіб, які ризикують залишитися без громадянства, за вирахуванням кількості осіб без документів, чиє громадянство було підтверджено органами влади Албанії у 2021 році. Протягом 2022 року додаткові 350 осіб отримали допомогу підтвердити своє громадянство через адміністративні та/або судові процедури, з яких 238 було повністю вирішено."
2022,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 925 stateless persons, primarily of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. There are indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.","Повідомлена загальна кількість осіб без громадянства стосується 925 осіб без громадянства, переважно етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, головним чином зі штату Ракхайн. Є ознаки того, що існує потенційно значна кількість непереміщених осіб без громадянства, щодо яких немає даних."
2018,Montenegro, ,MNE,,STA,"In November 2017, UNHCR jointly with the Ministry of Interior (MoI) and the Ministry of Labour and Social Care carried out a field verification of all ex-Yugoslav refugees with unresolved status issues, including those of undetermined nationality. The field exercise covered 2,318 individuals (including 42% children) in 20 municipalities. The exercise identified  145 persons of undetermined nationality. Following the verification exercise, UNHCR and the MoI formed a working group to jointly assess each case and look for solutions in Montenegro or in the countries of origin.","У листопаді 2017 року УВКБ ООН спільно з Міністерством внутрішніх справ (МВС) і Міністерством праці та соціального захисту провели польову перевірку всіх біженців з колишньої Югославії з невирішеними питаннями статусу, включно з біженцями невизначеної національності. Польові навчання охопили 2318 осіб (включаючи 42% дітей) у 20 муніципалітетах. Під час навчань виявлено 145 осіб невстановленої національності. Після перевірки УВКБ ООН та МВС сформували робочу групу для спільної оцінки кожного випадку та пошуку рішень у Чорногорії або в країнах походження."
2025,Panama, ,PAN,,STA,Estimates of the stateless population are based on 2023 census data.,Оцінки кількості осіб без громадянства базуються на даних перепису населення 2023 року.
2018,Slovakia, ,SVK,,STA,Figure from the 2011 census. It includes 63 stateless persons who held permits to stay in Slovakia at the end of 2011. No updated data on the number of stateless persons is available.,"Цифра з перепису 2011 року. Він включає 63 особи без громадянства, які мали дозвіл на перебування в Словаччині на кінець 2011 року. Оновлені дані про кількість осіб без громадянства відсутні."
2024 - 2025,Czechia, ,CZE,,STA,"The statistics of stateless/undetermined nationality have been revised as per the updated data received from the Ministry of Interior (as of end-2024). Based on this, the figure of 954 (other stateless persons according to 2011 census) has been removed. This is to note that the latest 2021 census did not include the category of stateless persons, therefore these are not reported.","Статистику осіб без громадянства/невизначеного громадянства було переглянуто відповідно до оновлених даних, отриманих від Міністерства внутрішніх справ (станом на кінець 2024 року). Виходячи з цього, вилучено цифру 954 (інші особи без громадянства за переписом 2011 року). Слід зазначити, що останній перепис 2021 року не включав категорію осіб без громадянства, тому вони не повідомляються."
2018 - 2019,Nepal, ,NPL,,STA,"Various studies estimate that a large number of individuals lack citizenship certificates in Nepal. While these individuals are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation.","Згідно з різними дослідженнями, велика кількість людей не мають сертифікатів громадянства в Непалі. Хоча не всі ці особи є особами без громадянства, УВКБ ООН тісно співпрацює з урядом Непалу та партнерами, щоб вирішити цю ситуацію."
2024,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. The estimate includes 74,300 Ukrainians who received temporary protection, and 34,400 other refugees.","Офіційних даних про фактичну кількість біженців, які проживають у Болгарії, немає. Оцінка включає 74 300 українців, які отримали тимчасовий захист, та 34 400 інших біженців."
2023,Tajikistan, ,TJK,,STA,"Figure is based on a registration exercise in 2015 in three regions, leading to the registration of 842 people as stateless by the Ministry of Internal Affairs of Tajikistan.The additional 2,985 persons reflects individuals identified by UNHCR partners as at risk of statelessness or with undetermined nationality awaiting a solution from the government, as well as individuals who obtained residency permits for stateless persons reported by UNHCR partners.","Цифра заснована на реєстрації в 2015 році в трьох регіонах, що призвело до реєстрації 842 осіб як осіб без громадянства Міністерством внутрішніх справ Таджикистану. Додаткові 2985 осіб відображають осіб, визначених партнерами УВКБ ООН як груп ризику без громадянства або з невизначеним громадянством, які очікують рішення від уряду, а також осіб, які отримали дозвіл на проживання для осіб без громадянства, про що повідомили партнери УВКБ ООН."
2019,Kyrgyzstan, ,KGZ,,STA,All 58 persons were in the final stages of naturalization or citizenship confirmation formalities.,Усі 58 осіб перебували на останніх етапах натуралізації або підтвердження громадянства.
2023,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of 2023, the total number of individuals recognised under UK’s statelessness determination procedure is 362. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.The number of 'stateless' asylum-seekers in the UK awaiting a decision has been revised, following decisions on their asylum claims during the year.","The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. As of 2023, the total number of individuals recognised under UK’s statelessness determination procedure is 362. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.The number of 'stateless' asylum-seekers in the UK awaiting a decision has been revised, following decisions on their asylum claims during the year."
2024 - 2025,Italy, ,ITA,,STA,"The stateless statistics figure is a combination of data published by the National Institute of Statistics (570 as of 1 January 2024), as well as estimates from NGOs on the number of persons who are stateless or at risk of statelessness present in Italy.","Показник статистики без громадянства – це комбінація даних, опублікованих Національним інститутом статистики (570 станом на 1 січня 2024 року), а також оцінок неурядових організацій щодо кількості осіб без громадянства або тих, хто ризикує залишитися без громадянства в Італії."
2022 - 2023,Colombia,Colombia,COL,COL,OOC,The figure of others of concern has been provided by the Government of Colombia.,"Дані щодо інших, що викликають занепокоєння, надав уряд Колумбії."
2018,Singapore, ,SGP,,STA,"Stateless persons include persons who came from other countries to live and work in Singapore and lost their foreign citizenship over time, and children born in Singapore but not eligible for Singapore Citizenship at birth and whose parents confer nationality to them.","До осіб без громадянства належать особи, які приїхали з інших країн, щоб жити та працювати в Сінгапурі та з часом втратили своє іноземне громадянство, а також діти, які народилися в Сінгапурі, але не мають права на отримання громадянства Сінгапуру за народженням і чиї батьки надають їм громадянство."
2024 - 2025,Syrian Arab Rep., ,SYR,,STA,"According to some reports many stateless persons have been naturalized since 2011, but no official figures are yet confirmed. The reported figures will be reviewed as more information becomes available.","Згідно з деякими даними, багато осіб без громадянства були натуралізовані з 2011 року, але офіційні дані ще не підтверджені. Повідомлені цифри будуть переглянуті, коли стане доступною додаткова інформація."
"2021, 2023 - 2025",Cote d'Ivoire, ,CIV,,STA,The statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR.,"Цифра безгромадянства базується на картографічному дослідженні 2019 року, проведеному спільно урядом та УВКБ ООН."
2022,Russian Federation, ,RUS,,STA,"By the end of 2021, UNHCR reported 54,025 stateless persons in the Russian Federation. This estimation was based on the number of self-proclaimed stateless persons identified during the 2010 census (178,000), from whom the number of persons who obtained Russian citizenship throughout the reporting periods was subtracted on a yearly basis since 2011. According to the results of the 2020 All-Russia Census finalized at end 2022, some 95,193 persons declared themselves stateless and this figure was taken as a baseline for statistics on statelessness for 2022, causing an increase of 41,139 in estimated statelessness population figures for Russia compared to end-2021 (but still a decrease compared to latest Census).","Станом на кінець 2021 року УВКБ ООН повідомило про 54 025 осіб без громадянства в РФ. Ця оцінка ґрунтувалася на кількості самопроголошених осіб без громадянства, виявлених під час перепису 2010 року (178 000), з яких щорічно, починаючи з 2011 року, віднімається кількість осіб, які отримали російське громадянство за звітні періоди. За результатами Всеросійського перепису населення 2020 року, завершеного наприкінці 2022 року, близько 95 193 особи задекларували самі є особами без громадянства, і ця цифра була взята як базова для статистичних даних щодо осіб без громадянства за 2022 рік, що призвело до збільшення на 41 139 розрахункових цифр безгромадянства в Росії порівняно з кінцем 2021 року (але все ще зменшення порівняно з останнім переписом)."
2020,Italy, ,ITA,,REF,"In 2020, the refugee estimates were updated using the data provided by ISTAT for 2019, augmented with the decisions on asylum applications provided by the Ministry of Interior in 2020. The ISTAT statistics provide the total number of people with valid refugee residence permits, disaggregated for the 50 most common countries of origins. This resulted in a reduction in the start-year refugee population of 91,200 refugees.","У 2020 році оцінки щодо біженців були оновлені з використанням даних, наданих ISTAT за 2019 рік, доповнених рішеннями щодо заяв про надання притулку, наданими Міністерством внутрішніх справ у 2020 році. Статистика ISTAT надає загальну кількість людей, які мають дійсні дозволи на проживання біженців, з поділом на 50 найпоширеніших країн походження. Це призвело до скорочення кількості біженців на початку року на 91 200 біженців."
2024 - 2025,Iceland, ,ISL,,REF,"With regards to refugee statistics, since 2024 the number of refugees in Iceland are based on data reported by authorities of persons with valid residence permits issued on the basis of international protection, subsidiary protection, resettlement or family reasons and adding beneficiaries of temporary protection. It does not include refugees who have been granted permanent residence permits. The figures replace previous refugee stock estimations conducted by UNHCR.","Що стосується статистики біженців, з 2024 року кількість біженців в Ісландії базується на даних, наданих органами влади щодо осіб, які мають дійсний дозвіл на проживання, виданий на підставі міжнародного захисту, додаткового захисту, переселення або сімейних причин, а також додавання бенефіціарів тимчасового захисту. Сюди не входять біженці, які отримали дозвіл на постійне проживання. Цифри замінюють попередні оцінки кількості біженців, проведені УВКБ ООН."
2023,Cambodia, ,KHM,,STA,The figure is based on an estimate provided in 2020 of ethnic Vietnamese persons whose legal identity documents were withdrawn and whose nationality is undetermined.,"Ця цифра базується на оцінці, наданій у 2020 році щодо етнічних в’єтнамців, у яких вилучено офіційні документи, що посвідчують особу, і громадянство яких не визначено."
2025,Russian Federation, ,RUS,,REF,"The figure for the Russian Federation includes 6,121 Ukrainians who were granted refugee or temporary asylum status by March-2025. Moreover, as of mid-2023 an estimated 1.2 million Ukrainians were recorded in the Russian Federation under different legal forms of stay (other than refugee or temporary asylum status) and reported by UNHCR as persons in a refugee-like situation. However, this figure has not been updated since June 2023, and therefore can no longer be included in UNHCR’s official statistics.","У цифру по Російській Федерації входять 6121 українець, які отримали статус біженця або тимчасового притулку станом на березень 2025 року. Більше того, станом на середину 2023 року приблизно 1,2 мільйона українців були зареєстровані в Російській Федерації за різними правовими формами перебування (крім статусу біженця чи тимчасового притулку) та повідомлені УВКБ ООН як особи, що перебувають у ситуації, схожій на біженця. Однак ця цифра не оновлювалася з червня 2023 року, тому її більше не можна включати в офіційну статистику УВКБ ООН."
2020 - 2022,Iraq, ,IRQ,,STA,"Pending a more accurate study into statelessness in Iraq, the estimated reduction of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances.","Очікуючи більш точного дослідження безгромадянства в Іраку, оцінене скорочення осіб без громадянства в Іраку було скориговано, щоб відобразити скорочення безгромадянства відповідно до Закону 26 від 2006 року, який дозволяє особам без громадянства подавати заяву на отримання громадянства за певних обставин."
2018,Zimbabwe, ,ZWE,,STA,A study is being pursued to provide a revised estimate of statelessness figure.,"Проводиться дослідження, щоб отримати переглянуту оцінку кількості осіб без громадянства."
2019,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,642 persons who are registered as stateless by the Ministry of the Interior of Ukraine.","Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 5642 особи, які перебувають на обліку МВС України як особи без громадянства."
2018,Cote d'Ivoire, ,CIV,,STA,The statelessness figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2016. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.,"Показник безгромадянства базується на урядовій оцінці осіб, які самі або чиї батьки чи бабусі та дідусі мігрували до Кот-д’Івуару до чи відразу після здобуття незалежності та які не встановили своє громадянство під час здобуття незалежності чи до зміни закону про громадянство в 1972 році. Оцінка частково отримана на основі випадків відмови в реєстрації виборців у 2010 році, оскільки виборчі органи не могли визначити їх громадянство на той час. Оцінка скоригована для відображення кількості осіб, які отримали громадянство за допомогою спеціальної процедури «набуття громадянства за декларацією» до кінця 2016 року. Оцінка не включає осіб невідомого походження, яких покинули в дитинстві та які не вважаються громадянами відповідно до законодавства Кот-д’Івуару."
2021 - 2022,Nauru, ,NRU,,STA,"The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. The figure reflected does not represent an estimation of the entire stateless population.","Повідомлені цифри відображають осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями з М’янми, переважно зі штату Ракхайн. Відображена цифра не є оцінкою всього населення без громадянства."
2024 - 2025,Liberia, ,LBR,,STA,"Some information about stateless persons in the country is available, however it is not yet sufficiently reliable to produce estimates of the size of the population.","Певна інформація про осіб без громадянства в країні доступна, однак вона ще недостатньо надійна для оцінки чисельності населення."
2018,Slovenia, ,SVN,,STA,The figure is based on an NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.,"Ця цифра базується на аналізі урядових даних, проведеному НУО, і може не відображати повного масштабу безгромадянства в Словенії."
2024,Portugal, ,PRT,,REF,"Official statistics on the size of the refugee population are not available. UNHCR refugee population estimates is based on the cumulative number of recognized asylum-seekers over the past 10 years, plus the reported number of beneficiaries of Temporary Protection in the country by end-2024.","Офіційної статистики щодо кількості біженців немає. Оцінки УВКБ ООН щодо кількості біженців базуються на загальній кількості визнаних шукачів притулку за останні 10 років, а також на повідомленій кількості бенефіціарів тимчасового захисту в країні до кінця 2024 року."
2021,Iran (Islamic Rep. of), ,IRN,,STA,"The figures reported reflects stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State.  The figure reflected does not represent an estimation of the entire stateless population.","Повідомлені цифри відображають осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями з М’янми, переважно зі штату Ракхайн.  Відображена цифра не є оцінкою всього населення без громадянства."
2024,Azerbaijan, ,AZE,,STA,"In 2023, UNHCR conducted an extensive identification exercise of stateless persons in Azerbaijan using both government and UNHCR registers. The exercise was able to account for 513 stateless person, which was used as the start year figure. During 2024, 306 individuals at risk of statelessness were able to acquire citizenship. Additional persons of undetermined nationality were identified during the year, resulting in a total of 271 stateless persons in the country at end-year based on information from the State Migration Service, the Ministry of Internal Affairs and UNHCR.","У 2023 році УВКБ ООН провело широку ідентифікацію осіб без громадянства в Азербайджані, використовуючи державні реєстри та реєстри УВКБ ООН. Під час дослідження вдалося врахувати 513 осіб без громадянства, які були використані як показник початкового року. Протягом 2024 року громадянство змогли отримати 306 осіб, які перебувають у групі ризику без громадянства. Протягом року було виявлено додаткові особи невизначеного громадянства, в результаті чого станом на кінець року в країні було 271 особа без громадянства, згідно з інформацією Державної міграційної служби, Міністерства внутрішніх справ та УВКБ ООН."
2019 - 2025,Saudi Arabia, ,SAU,,STA,UNHCR is verifying the number of stateless persons with the Government of Saudi Arabia.,УВКБ ООН перевіряє кількість осіб без громадянства з урядом Саудівської Аравії.
2020,Yemen, ,YEM,,REF,"The reduction of about 109,400 is due to improved estimates of Somali refugees in Yemen. Starting in September 2020, UNHCR has been working with the authorities and other actors to improve estimates of refugee and asylum-seeker statistics in Yemen.","Скорочення приблизно на 109 400 пояснюється покращеними оцінками кількості сомалійських біженців у Ємені. Починаючи з вересня 2020 року, УВКБ ООН працює з владою та іншими учасниками, щоб покращити оцінки статистики щодо біженців і шукачів притулку в Ємені."
2019 - 2021,Australia, ,AUS,,REF,The methodology for estimating the number of refugees in Australia is under review and subject to adjustment in future reports. The asylum-seeker figure is based on the number of applications lodged for protection visas.,"Методологія оцінки кількості біженців в Австралії переглядається та може бути скоригована в наступних звітах. Кількість шукачів притулку базується на кількості заявок, поданих на захисні візи."
2024,Spain, ,ESP,,REF,"The number of refugees was re-calculated based on the refugee data, as provided by the government. The overall figures for Spain include refugee status (8%), subsidiary protection (9%), temporary protection (51%) and humanitarian reasons (32%).","Кількість біженців була перерахована на основі даних про біженців, наданих урядом. Загальні цифри для Іспанії включають статус біженця (8%), додатковий захист (9%), тимчасовий захист (51%) і гуманітарні причини (32%)."
2024,Montenegro, ,MNE,,REF,Estimates of the number of Ukrainians in a refugee-like situation in Montenegro were revised.,Були переглянуті оцінки кількості українців у ситуації біженців у Чорногорії.
2024,India, ,IND,,STA,"The total statelessness figure reported relates to 23,262 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.","Повідомлена загальна кількість безгромадянства стосується 23 262 осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн. Повідомлена цифра не є оцінкою всього населення без громадянства."
2021,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. At the end of 2021, the total number of individuals recognised under UK’s statelessness determination procedure is 258. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.","Показники безгромадянства у Великій Британії показують кількість осіб без громадянства, визнаних за допомогою процедури визначення осіб без громадянства у Великій Британії з моменту її початку в 2013 році. У попередні роки цю цифру обчислювали шляхом додавання всіх дозволів на відпустку без громадянства. Це призвело до неминучого подвійного підрахунку для осіб без громадянства, які подали заяву на подальшу відпустку без громадянства після закінчення терміну їх початкової відпустки. Уряд Великобританії надав дані для початкових і наступних грантів. Таким чином, наступні субсидії були вилучені з попередньої сукупної цифри за 2013–2018 роки. З 2019 року сукупна цифра тепер включає лише початкові гранти на відпустку після визнання осіб особами без громадянства. На кінець 2021 року загальна кількість осіб, визнаних відповідно до процедури визначення безгромадянства у Великій Британії, становила 258. Крім того, УВКБ ООН надає інформацію про кількість шукачів притулку та біженців, громадянство яких було зареєстровано як «апатриди» в рамках процесу отримання притулку. Для цієї групи не було офіційного визначення того, що вони є особами без громадянства."
2020,India, ,IND,,STA,"The total statelessness figure reported relates to 18,174 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach was used for India for the first time in 2019. The reported figure does not represent an estimate of the entire stateless population.","Повідомлена загальна кількість безгромадянства стосується 18 174 осіб без громадянства етнічної приналежності рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, головним чином зі штату Ракхайн. Статистична звітність УВКБ ООН, як правило, дотримується методології, яка повідомляє лише про один правовий статус для кожної відповідної особи. Однак через чисельність рохінджа без громадянства, переміщеного з М’янми, УВКБ ООН вважає важливим відобразити подвійний статус цієї групи населення як переміщених осіб, так і осіб без громадянства. Цей підхід вперше було використано для Індії в 2019 році. Повідомлена цифра не є оцінкою всього населення без громадянства."
